Tick,Healthy,Sick,Recovered
1,1499,1,0
2,1499,1,0
3,1499,1,0
4,1499,1,0
5,1499,1,0
6,1499,1,0
7,1499,1,0
8,1499,1,0
9,1499,1,0
10,1499,1,0
11,1498,2,0
12,1497,3,0
13,1497,3,0
14,1497,3,0
15,1497,3,0
16,1497,3,0
17,1496,4,0
18,1496,4,0
19,1496,4,0
20,1496,4,0
21,1496,4,0
22,1496,4,0
23,1496,4,0
24,1496,4,0
25,1496,4,0
26,1496,4,0
27,1496,4,0
28,1495,5,0
29,1495,5,0
30,1495,5,0
31,1495,5,0
32,1495,5,0
33,1495,5,0
34,1494,6,0
35,1494,6,0
36,1494,6,0
37,1494,6,0
38,1494,6,0
39,1494,6,0
40,1494,6,0
41,1494,6,0
42,1494,6,0
43,1494,6,0
44,1494,6,0
45,1494,6,0
46,1494,6,0
47,1494,6,0
48,1493,7,0
49,1493,7,0
50,1493,7,0
51,1492,8,0
52,1492,8,0
53,1492,8,0
54,1492,8,0
55,1492,8,0
56,1491,9,0
57,1490,10,0
58,1490,10,0
59,1490,10,0
60,1490,10,0
61,1490,10,0
62,1490,10,0
63,1490,10,0
64,1490,10,0
65,1490,10,0
66,1490,10,0
67,1490,10,0
68,1490,10,0
69,1490,10,0
70,1490,10,0
71,1489,11,0
72,1489,11,0
73,1489,11,0
74,1487,13,0
75,1487,13,0
76,1486,14,0
77,1486,14,0
78,1486,14,0
79,1486,14,0
80,1486,14,0
81,1485,15,0
82,1485,15,0
83,1485,15,0
84,1484,16,0
85,1483,17,0
86,1483,17,0
87,1482,18,0
88,1482,18,0
89,1482,18,0
90,1482,18,0
91,1481,19,0
92,1481,19,0
93,1480,20,0
94,1480,20,0
95,1478,22,0
96,1478,22,0
97,1478,22,0
98,1476,24,0
99,1476,24,0
100,1476,24,0
101,1476,24,0
102,1475,25,0
103,1474,26,0
104,1473,27,0
105,1473,27,0
106,1473,27,0
107,1473,27,0
108,1473,27,0
109,1472,28,0
110,1471,29,0
111,1470,30,0
112,1470,30,0
113,1470,30,0
114,1469,31,0
115,1468,32,0
116,1468,32,0
117,1468,32,0
118,1468,32,0
119,1467,33,0
120,1467,33,0
121,1467,33,0
122,1467,33,0
123,1466,34,0
124,1466,34,0
125,1466,34,0
126,1466,34,0
127,1465,35,0
128,1464,36,0
129,1464,36,0
130,1464,36,0
131,1463,37,0
132,1463,37,0
133,1462,38,0
134,1462,38,0
135,1462,38,0
136,1461,39,0
137,1460,40,0
138,1459,41,0
139,1459,41,0
140,1458,42,0
141,1458,42,0
142,1457,43,0
143,1456,44,0
144,1455,45,0
145,1455,45,0
146,1455,45,0
147,1455,45,0
148,1455,45,0
149,1455,45,0
150,1454,46,0
151,1454,46,0
152,1454,46,0
153,1454,46,0
154,1454,46,0
155,1454,46,0
156,1454,46,0
157,1453,47,0
158,1452,48,0
159,1450,50,0
160,1449,51,0
161,1448,52,0
162,1448,52,0
163,1447,53,0
164,1445,55,0
165,1444,56,0
166,1443,57,0
167,1443,57,0
168,1443,57,0
169,1442,58,0
170,1442,58,0
171,1442,58,0
172,1442,58,0
173,1442,58,0
174,1441,59,0
175,1441,59,0
176,1440,60,0
177,1440,60,0
178,1440,60,0
179,1440,60,0
180,1439,61,0
181,1438,62,0
182,1438,62,0
183,1438,62,0
184,1437,63,0
185,1436,64,0
186,1435,65,0
187,1434,66,0
188,1434,66,0
189,1432,68,0
190,1429,71,0
191,1428,72,0
192,1427,73,0
193,1426,74,0
194,1426,74,0
195,1426,74,0
196,1425,75,0
197,1425,75,0
198,1425,75,0
199,1424,76,0
200,1423,77,0
201,1422,78,0
202,1422,78,0
203,1421,79,0
204,1420,80,0
205,1420,80,0
206,1419,81,0
207,1419,81,0
208,1419,81,0
209,1418,82,0
210,1417,83,0
211,1417,83,0
212,1417,83,0
213,1416,84,0
214,1416,84,0
215,1412,88,0
216,1412,88,0
217,1411,89,0
218,1410,90,0
219,1410,90,0
220,1410,90,0
221,1410,90,0
222,1410,90,0
223,1410,90,0
224,1408,92,0
225,1408,92,0
226,1408,92,0
227,1408,92,0
228,1408,92,0
229,1407,93,0
230,1406,94,0
231,1405,95,0
232,1404,96,0
233,1403,97,0
234,1403,97,0
235,1402,98,0
236,1401,99,0
237,1401,99,0
238,1401,99,0
239,1401,99,0
240,1401,99,0
241,1400,100,0
242,1399,101,0
243,1399,101,0
244,1399,101,0
245,1398,102,0
246,1398,102,0
247,1397,103,0
248,1397,103,0
249,1396,104,0
250,1396,104,0
251,1395,105,0
252,1395,105,0
253,1395,105,0
254,1394,106,0
255,1393,107,0
256,1393,107,0
257,1393,107,0
258,1391,109,0
259,1389,111,0
260,1387,113,0
261,1386,114,0
262,1384,116,0
263,1384,116,0
264,1384,116,0
265,1384,116,0
266,1383,117,0
267,1383,117,0
268,1381,119,0
269,1380,120,0
270,1380,120,0
271,1379,121,0
272,1379,121,0
273,1378,122,0
274,1378,122,0
275,1377,123,0
276,1375,125,0
277,1372,128,0
278,1371,129,0
279,1371,129,0
280,1371,129,0
281,1371,129,0
282,1369,131,0
283,1368,132,0
284,1368,132,0
285,1367,133,0
286,1367,133,0
287,1366,134,0
288,1364,136,0
289,1364,136,0
290,1363,137,0
291,1361,139,0
292,1359,141,0
293,1355,145,0
294,1355,145,0
295,1355,145,0
296,1352,148,0
297,1352,148,0
298,1350,150,0
299,1349,151,0
300,1349,151,0
301,1347,153,0
302,1347,153,0
303,1345,155,0
304,1345,155,0
305,1344,156,0
306,1344,156,0
307,1343,157,0
308,1343,157,0
309,1343,157,0
310,1343,157,0
311,1341,159,0
312,1341,159,0
313,1340,160,0
314,1340,160,0
315,1338,162,0
316,1338,162,0
317,1334,166,0
318,1330,170,0
319,1329,171,0
320,1329,171,0
321,1328,172,0
322,1325,175,0
323,1323,177,0
324,1322,178,0
325,1321,179,0
326,1321,179,0
